"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21"
"V37";1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0
"V38";1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;1;1;1;0;1
"V39";1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0
"V40";0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0
"V41";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V42";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"V43";0;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;1;1;0;1
"V44";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V45";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V46";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V48";0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
"V49";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V50";1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0
"V51";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V52";0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1
"V53";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1
"V54";0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1
"V55";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"V56";0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1
"V57";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"V58";0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1
"V59";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"V60";0;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1
"V61";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V62";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V63";0;0;1;1;0;0;0;1;1;1;1;1;1;0;1;0;1;1;1;0;1
"V64";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"V65";0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0
"V66";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V67";0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
"V68";1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V69";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V70";1;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"V71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1
"V72";0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"V73";0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1
"V74";1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0
"V75";1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;1
"V76";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V77";0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
"V78";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V79";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V80";0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1
"V81";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1
"V82";1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1
"V83";0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0
"V84";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V85";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1
"V86";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V87";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"V88";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V89";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V90";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V91";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V92";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V93";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V95";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V96";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"V97";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"V98";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"V99";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"V100";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
"V101";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V102";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V103";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V104";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V105";0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0
"V106";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1
"V107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V108";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"V109";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V110";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V111";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V112";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V113";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V114";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V115";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V117";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V118";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V119";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V120";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V121";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
"V122";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V123";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V124";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V125";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V128";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V129";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"V130";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V131";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"V132";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V133";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V134";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V135";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"V136";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V137";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V138";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V139";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V140";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"V141";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V142";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V143";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"V144";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"V145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V146";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V147";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V148";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V149";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V150";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
"V151";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V152";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V153";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V155";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V156";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V157";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V158";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"V159";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V160";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V161";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V162";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V163";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V164";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V165";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V166";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V167";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"V168";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"V169";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V170";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V171";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V172";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V173";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"V174";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V175";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V176";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V177";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V178";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V180";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V181";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V182";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V183";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V184";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V185";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"V186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V187";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V188";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"V189";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V190";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V191";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V192";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V193";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V194";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V195";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V196";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V197";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V198";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V199";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V200";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V201";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V202";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V203";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V204";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V205";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V206";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V207";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V208";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V209";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V210";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V211";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V212";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V213";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V214";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V215";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V216";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V217";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V218";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V219";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V220";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V221";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V222";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V223";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V224";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V225";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V226";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V227";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"V228";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"V229";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V230";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V231";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V232";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V233";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"V234";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V235";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V236";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"V237";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V238";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V239";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V240";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V241";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V242";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V243";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V244";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
