"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22"
"V41";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V42";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V43";1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1
"V44";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0
"V45";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V46";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V47";0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
"V48";1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
"V49";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V50";1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;1
"V51";0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;0
"V52";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V53";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V54";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V55";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"V56";0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0
"V57";1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;1;1;0;0
"V58";0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0
"V59";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V60";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V61";1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"V62";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V63";1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1
"V64";1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;0
"V65";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"V66";1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"V67";1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0
"V68";0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"V69";1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1
"V70";0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
"V71";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V72";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V73";0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
"V74";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V75";1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1
"V76";1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1
"V77";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
"V78";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"V79";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
"V80";0;1;1;1;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1
"V81";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"V82";0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0
"V83";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V84";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V85";0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0
"V86";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V87";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
"V88";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1
"V89";1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0
"V90";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"V91";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
"V92";0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;0;0
"V93";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V94";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V95";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V96";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V97";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"V98";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"V99";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V100";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
"V101";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V102";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"V103";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"V104";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V105";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V106";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"V107";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V108";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V110";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"V111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"V112";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V113";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V114";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"V115";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"V116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"V118";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V119";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V120";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V122";1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
"V123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V126";1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V127";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V128";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V129";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V130";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V131";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V132";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V133";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V134";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V135";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V136";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"V137";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V138";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V139";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V140";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V141";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V142";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V143";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V144";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V145";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V146";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V147";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V148";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V149";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"V150";1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V151";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V153";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V154";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V155";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V156";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V157";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V158";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V159";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V160";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V161";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V162";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V163";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"V164";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V165";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V166";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V167";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V168";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V169";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V170";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V171";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V172";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V173";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V174";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V175";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V176";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V177";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V178";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V179";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
