"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"V69";0;0;0;0;0;1;0;0;1;0;0;0;0
"V70";0;0;0;0;1;0;0;1;0;0;1;0;0
"V71";1;1;1;1;1;1;1;1;1;1;1;1;0
"V72";1;0;0;0;0;0;1;0;0;1;0;0;0
"V73";0;0;1;0;0;0;0;0;0;0;0;0;0
"V74";0;0;0;1;0;1;1;0;0;1;0;0;0
"V75";1;1;1;1;1;0;1;1;1;1;1;1;1
"V76";0;0;0;1;0;0;0;0;0;0;0;0;0
"V77";1;1;0;0;1;0;1;0;0;1;0;1;1
"V78";0;0;0;1;1;0;1;0;0;0;0;1;0
"V79";0;0;0;0;0;0;0;0;0;0;1;0;0
"V80";1;0;1;1;1;1;1;1;1;1;1;0;1
"V81";0;0;0;0;0;0;1;0;0;0;0;0;0
"V82";1;1;0;1;1;1;1;0;1;0;1;1;1
"V83";0;0;0;1;0;0;0;0;0;0;0;1;1
"V84";1;1;1;0;1;0;1;1;1;1;1;1;0
"V85";0;0;0;0;1;1;0;1;0;0;0;1;1
"V86";0;0;1;1;1;0;0;0;0;0;1;1;0
"V87";0;1;0;0;0;0;0;0;0;0;0;1;1
"V88";0;0;0;1;1;0;0;0;0;0;0;0;0
"V89";0;0;0;0;0;0;0;0;1;0;0;0;0
"V90";0;0;0;0;0;0;0;1;0;0;0;1;0
"V91";0;1;0;0;0;0;0;0;0;0;0;0;0
"V92";1;0;1;0;1;0;1;0;0;0;0;0;0
"V93";0;0;0;0;0;0;0;0;0;0;0;1;0
"V94";0;0;0;0;0;1;0;0;1;0;0;0;0
"V95";0;0;0;1;0;0;0;0;0;0;0;0;0
"V96";0;0;0;1;0;0;0;0;0;0;0;0;0
"V97";0;1;0;0;0;0;0;0;0;0;0;0;0
"V98";0;0;1;0;0;1;0;0;0;0;0;0;0
"V99";0;0;0;1;1;0;0;0;0;0;0;0;1
"V100";1;0;0;0;1;0;1;0;0;1;1;0;0
"V101";0;0;0;1;0;0;0;0;0;0;0;1;0
"V102";1;1;0;0;0;0;1;0;0;0;0;0;0
"V103";0;0;0;0;0;1;0;1;0;0;0;0;0
"V104";1;0;0;0;0;1;0;0;0;0;0;1;1
"V105";0;0;0;1;0;0;0;0;0;0;0;0;0
"V106";1;1;0;1;0;0;1;1;1;0;1;1;0
"V107";0;1;0;0;0;0;0;0;0;0;0;0;0
"V108";1;0;0;1;0;0;1;0;0;0;0;0;0
"V109";0;0;1;0;0;0;1;0;0;1;0;0;0
"V110";1;0;0;0;1;0;1;0;1;1;1;1;1
"V111";0;0;1;1;1;0;1;0;1;1;0;0;0
"V112";0;0;0;0;0;1;1;1;1;0;1;1;1
"V113";1;0;1;0;1;0;0;0;0;1;1;1;0
"V114";0;0;1;0;0;1;0;0;0;0;0;0;0
"V115";0;0;0;1;0;0;0;0;0;0;0;0;0
"V116";1;1;0;0;0;0;0;0;1;0;1;0;1
"V117";1;1;0;1;1;1;1;1;1;0;0;1;0
"V118";1;0;0;1;0;0;1;1;0;0;0;1;1
"V119";0;0;0;0;1;0;0;0;0;0;0;0;0
"V120";1;0;0;0;1;0;0;0;0;0;0;0;0
"V121";1;0;0;0;0;0;0;0;0;0;0;0;0
"V122";0;0;0;0;0;0;1;0;0;0;0;0;0
"V123";0;1;0;1;0;0;0;1;0;0;0;0;1
"V124";1;0;0;1;0;0;0;0;1;0;0;0;1
"V125";0;0;0;0;0;0;0;0;0;0;1;0;0
"V126";0;0;0;0;0;0;0;0;0;0;1;1;0
"V127";0;0;1;1;0;0;0;1;0;0;0;0;1
"V128";0;0;1;0;0;0;0;0;0;0;0;0;0
"V129";0;1;0;0;0;0;1;1;0;0;0;1;0
"V130";0;1;0;1;0;0;0;0;0;0;0;0;1
"V131";1;0;0;0;0;0;0;0;0;1;1;1;1
"V132";0;0;0;1;0;0;0;0;0;0;0;0;0
"V133";0;1;0;0;0;0;0;0;0;1;1;0;0
"V134";0;0;1;0;0;0;0;0;0;0;0;0;1
"V135";0;0;0;0;1;0;0;0;0;0;0;0;1
"V136";1;0;1;1;0;0;0;0;0;0;0;0;0
"V137";0;0;0;0;0;0;0;1;0;1;0;0;0
"V138";0;0;0;0;1;0;0;0;0;0;0;0;0
"V139";0;0;0;0;0;0;0;0;0;0;0;0;1
"V140";1;1;0;0;0;0;0;1;0;0;1;0;1
"V141";0;1;0;1;0;0;1;0;1;1;1;1;0
"V142";0;0;0;0;1;0;0;0;0;0;0;0;1
"V143";0;1;0;0;0;0;0;0;0;0;0;0;1
"V144";0;0;0;0;0;0;0;0;0;0;0;1;0
"V145";0;0;0;0;0;0;0;1;0;0;0;0;0
"V146";0;0;0;0;0;0;0;1;0;0;0;0;0
"V147";1;0;0;0;0;0;0;0;0;0;0;0;0
"V148";0;0;0;0;0;1;0;0;1;0;0;1;0
"V149";0;1;0;1;0;0;0;0;0;0;0;1;0
"V150";0;0;0;0;0;0;0;0;0;0;0;1;0
"V151";0;0;0;0;0;1;0;0;0;0;0;0;0
"V152";0;0;0;0;0;0;0;0;0;0;0;0;1
"V153";0;1;0;0;1;0;0;0;0;0;0;0;0
"V154";0;0;0;0;1;0;0;0;1;0;1;0;0
"V155";0;0;0;0;0;0;0;0;0;0;0;1;0
"V156";0;0;1;1;0;0;0;0;0;0;0;0;0
"V157";1;0;1;1;0;0;0;0;0;0;1;0;0
"V158";0;0;0;0;0;0;0;0;0;0;0;0;1
"V159";1;0;0;0;0;0;0;0;0;0;0;0;1
"V160";0;1;0;0;1;0;0;1;1;0;0;1;0
"V161";0;0;0;1;0;0;0;0;0;0;0;0;0
"V162";1;1;1;0;0;1;0;1;0;0;0;1;0
"V163";0;0;1;1;0;0;0;0;1;0;1;0;0
"V164";0;0;0;0;0;0;1;0;0;1;0;0;0
"V165";0;0;1;0;0;0;0;0;1;0;0;0;0
"V166";0;1;1;1;1;1;0;1;1;0;1;0;0
"V167";0;0;0;0;1;1;0;0;0;0;0;0;0
"V168";1;0;0;1;0;1;0;0;0;0;1;1;0
"V169";1;0;0;0;1;1;0;1;1;0;1;1;1
"V170";1;0;0;0;1;0;0;0;1;1;0;0;0
"V171";0;0;0;0;0;0;0;0;0;0;0;0;1
"V172";0;0;0;0;0;0;0;1;0;0;0;0;1
"V173";1;1;0;1;0;1;0;0;1;1;1;0;1
"V174";0;0;0;0;0;0;1;0;0;0;0;0;0
"V175";0;0;0;0;1;0;0;0;1;0;0;0;0
"V176";1;0;0;0;0;0;0;0;1;0;0;0;0
"V177";0;0;0;0;0;0;0;0;0;0;0;1;0
"V178";0;0;0;0;0;0;0;0;0;0;0;0;1
"V179";1;1;0;0;1;0;1;0;0;0;0;1;0
"V180";1;0;0;1;0;0;0;0;0;0;0;0;0
"V181";0;0;0;1;0;0;0;0;0;1;0;0;0
"V182";0;0;0;1;0;0;0;0;0;0;0;0;0
"V183";1;0;0;0;0;0;0;0;0;0;0;0;0
"V184";0;0;0;0;0;0;0;0;0;0;0;1;0
"V185";0;0;0;0;0;0;0;0;0;1;0;0;0
"V186";0;0;0;0;0;0;0;0;0;0;0;0;1
"V187";1;0;0;0;0;1;0;0;0;0;0;0;0
"V188";0;0;0;0;0;0;0;1;0;1;0;0;0
"V189";0;0;0;0;0;0;1;0;1;0;0;0;1
"V190";0;0;0;0;0;0;1;0;0;0;0;0;0
"V191";0;0;0;0;0;0;0;1;0;1;0;0;0
"V192";0;0;0;0;0;1;1;0;0;0;0;0;0
"V193";1;0;0;1;0;0;0;0;0;0;1;0;0
"V194";0;0;1;0;0;0;0;1;1;0;1;1;0
"V195";0;0;0;0;0;0;0;0;0;0;1;0;0
"V196";0;0;0;0;0;1;0;0;0;0;0;0;0
"V197";1;0;0;0;0;0;0;0;0;0;0;0;0
"V198";0;0;0;0;0;0;0;0;0;1;0;0;0
"V199";0;0;1;0;1;0;0;1;0;0;0;0;0
"V200";0;0;1;0;1;0;0;0;0;1;0;0;1
"V201";0;0;0;0;0;1;0;0;0;0;0;0;0
"V202";0;0;0;0;0;0;0;0;0;0;0;1;1
"V203";0;0;0;0;1;0;0;0;1;0;0;0;1
"V204";1;0;0;0;0;0;0;0;0;0;0;0;0
"V205";0;0;0;0;1;0;0;0;0;0;0;0;0
"V206";0;0;0;0;0;0;1;0;0;0;0;0;0
"V207";0;0;0;0;0;0;0;0;0;1;0;0;0
"V208";0;0;1;0;0;0;0;0;0;0;0;0;0
"V209";0;0;0;0;1;0;0;0;0;0;0;0;0
"V210";0;0;0;1;0;0;0;0;0;0;0;1;0
"V211";0;0;0;0;0;0;0;0;0;0;0;1;1
"V212";1;0;0;0;0;0;0;0;0;0;0;0;0
"V213";0;0;0;0;0;0;0;0;0;0;0;0;1
"V214";0;0;0;1;0;1;1;0;0;0;0;0;0
"V215";0;0;0;0;0;0;0;0;0;0;1;0;0
"V216";1;0;0;1;1;0;0;0;0;1;0;0;0
"V217";0;0;0;0;0;0;0;0;0;0;0;0;1
"V218";0;0;0;0;1;0;0;0;0;0;0;0;0
"V219";1;0;1;0;0;0;0;0;0;0;0;0;0
"V220";0;0;0;0;1;0;0;0;0;1;0;0;0
"V221";0;0;0;0;0;0;0;0;0;0;0;1;1
"V222";1;0;0;0;0;0;0;0;0;0;1;0;0
"V223";0;0;0;0;0;0;0;1;0;0;0;0;0
"V224";0;0;1;0;0;0;0;0;0;0;0;0;0
"V225";0;0;0;0;0;0;1;0;0;0;0;0;0
"V226";0;0;0;0;0;0;0;0;0;0;0;0;1
"V227";0;0;0;0;0;0;1;0;0;0;0;0;0
"V228";0;0;0;0;0;0;0;0;0;0;0;0;1
"V229";0;0;0;0;0;0;0;0;0;0;0;1;0
"V230";0;0;0;0;0;1;0;0;0;0;0;0;0
"V231";0;0;0;0;0;0;0;0;0;0;1;0;0
"V232";1;0;0;0;0;0;0;0;0;0;0;0;0
"V233";0;0;0;1;0;0;0;0;0;0;0;0;0
"V234";0;1;0;0;0;0;0;0;0;0;0;0;0
"V235";0;0;0;0;0;0;0;0;0;0;0;1;0
"V236";0;0;0;0;0;0;0;0;0;0;1;0;0
"V237";0;0;0;0;0;0;0;0;0;0;1;0;0
"V238";0;0;0;1;0;0;0;0;0;0;0;0;0
"V239";1;0;0;0;0;0;0;0;0;0;0;0;0
"V240";0;1;0;0;0;0;0;0;0;0;0;0;0
"V241";0;0;0;0;0;1;0;0;0;0;0;0;0
"V242";0;1;0;0;0;0;0;0;0;0;0;0;0
"V243";0;0;0;0;0;0;0;0;0;0;1;0;0
"V244";0;0;0;0;0;0;0;1;0;0;0;0;0
"V245";0;0;0;0;0;0;0;1;0;0;0;0;0
"V246";0;0;0;0;0;0;0;0;0;1;0;0;0
"V247";0;0;0;0;0;0;1;0;0;0;0;0;0
"V248";0;0;0;0;0;0;0;1;0;0;0;0;0
"V249";0;0;0;0;0;0;0;0;0;1;0;0;0
"V250";0;0;0;0;0;0;1;0;0;0;0;0;0
"V251";0;0;0;0;0;0;0;0;0;0;1;0;0
"V252";0;0;0;0;0;0;0;0;0;1;0;0;0
"V253";0;0;0;0;0;0;1;0;0;0;0;0;0
"V254";0;0;0;0;0;1;0;0;0;0;0;0;0
"V255";0;0;0;0;0;0;0;0;0;0;1;0;0
"V256";0;0;0;0;0;0;0;0;1;0;0;0;0
"V257";0;1;0;0;0;0;0;0;0;0;0;0;0
"V258";0;0;0;0;0;0;1;0;0;0;0;0;0
"V259";1;0;0;0;0;0;0;0;0;0;0;0;0
"V260";0;0;0;0;0;0;0;0;0;0;0;1;0
"V261";0;0;0;0;1;0;0;0;0;0;0;0;0
"V262";0;0;0;0;0;0;1;0;0;0;0;0;0
"V263";0;0;0;0;0;0;0;0;0;1;0;0;0
"V264";0;0;0;0;0;0;0;1;0;0;0;0;0
"V265";0;0;0;0;0;0;0;0;0;0;0;0;1
"V266";0;0;0;0;1;0;0;0;0;0;0;0;0
"V267";1;0;0;0;0;0;0;0;0;0;0;0;0
"V268";0;0;0;0;0;0;0;1;0;0;0;0;0
"V269";0;0;0;0;0;0;0;0;0;1;0;0;0
"V270";0;0;0;0;0;0;0;0;0;1;0;0;0
"V271";0;0;0;0;0;0;1;0;0;0;0;0;0
"V272";0;0;0;0;0;0;1;0;0;0;0;0;0
