"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"V51";0;0;0;1;0;0;0;0;0;0;0;0
"V52";0;0;0;0;0;0;0;1;1;0;0;0
"V53";0;0;0;0;0;0;0;0;0;0;1;0
"V54";1;0;0;0;0;0;0;0;0;0;0;0
"V55";0;0;0;0;0;0;0;0;0;0;1;0
"V56";0;0;0;0;0;0;0;0;1;0;0;0
"V57";0;1;1;0;0;0;0;0;0;0;0;0
"V58";1;0;1;0;1;0;0;0;1;0;0;0
"V59";1;1;0;1;0;0;0;0;0;0;0;0
"V60";0;0;1;0;0;0;1;0;1;0;1;1
"V61";1;0;0;0;1;0;1;1;0;0;0;0
"V62";0;0;0;0;1;1;1;0;1;0;0;0
"V63";1;0;0;0;0;0;0;0;0;0;0;0
"V64";0;0;0;0;0;0;0;1;0;0;0;0
"V65";0;0;0;0;0;0;0;0;1;0;0;0
"V66";0;0;0;0;1;0;0;0;0;0;0;0
"V67";0;0;0;0;1;0;0;0;0;0;0;0
"V68";0;0;0;0;0;0;1;0;0;0;0;0
"V69";0;0;0;0;0;0;1;0;0;0;0;0
"V70";0;0;0;0;0;0;0;1;0;0;0;0
"V71";0;0;0;0;0;0;0;0;1;0;0;0
"V72";0;0;1;0;0;0;0;0;0;0;0;0
"V73";0;0;0;0;0;1;0;0;0;0;0;0
"V74";0;0;0;0;0;0;0;1;0;0;0;0
"V75";0;0;0;0;0;1;0;0;0;0;0;0
"V76";0;0;0;0;0;0;0;0;0;1;0;0
"V77";0;0;0;0;0;0;0;0;1;0;0;0
"V78";0;1;0;0;0;0;0;0;0;0;0;0
"V79";0;0;0;0;0;0;0;0;0;1;0;0
"V80";0;1;0;0;0;0;0;0;0;0;0;0
"V81";1;0;0;0;0;0;0;0;0;0;0;0
"V82";0;0;1;0;0;0;0;0;1;0;0;0
"V83";0;0;0;0;0;0;0;1;1;0;0;0
"V84";1;0;0;0;1;0;1;1;0;1;0;1
"V85";0;0;0;0;0;0;0;0;0;0;1;0
"V86";0;0;0;0;0;0;0;1;1;0;0;0
"V87";1;0;0;0;0;0;0;0;0;0;0;0
"V88";0;1;0;0;0;0;0;0;0;0;0;0
"V89";0;0;0;0;0;1;0;0;0;0;0;0
"V90";1;0;1;0;0;0;1;0;0;0;1;0
"V91";1;1;0;1;1;0;0;0;0;0;0;0
"V92";0;0;0;0;0;0;0;1;1;1;1;0
"V93";0;1;1;1;0;0;0;0;0;1;0;0
"V94";1;0;0;0;0;0;0;0;0;0;0;0
"V95";0;1;0;0;0;0;1;0;1;0;1;0
"V96";0;1;0;0;0;0;0;0;0;0;0;0
"V97";0;0;0;0;0;0;1;0;0;0;0;0
"V98";0;0;0;0;0;0;0;0;0;0;1;0
"V99";0;0;0;0;0;0;0;0;0;1;0;0
"V100";0;0;0;0;0;0;0;1;0;0;0;0
