"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"V122";0;0;0;0;0;1;0;0;0;0
"V123";0;0;0;0;0;0;0;0;1;0
"V124";0;0;0;0;1;0;0;0;0;0
"V125";0;1;0;0;0;0;0;0;0;0
"V126";0;0;0;1;1;0;1;0;0;0
"V127";0;1;0;0;1;0;0;1;0;0
"V128";0;0;0;1;0;0;0;1;0;1
"V129";0;1;0;0;0;0;0;0;1;0
"V130";0;0;0;0;0;0;1;1;0;0
"V131";0;0;0;1;0;0;0;0;0;1
"V132";0;0;0;0;0;1;0;0;0;0
"V133";0;0;1;0;0;0;0;0;0;0
"V134";0;0;0;0;0;0;0;0;0;1
"V135";0;1;0;0;0;0;0;1;0;0
"V136";0;1;0;0;0;0;0;0;0;0
"V137";0;0;0;0;0;0;1;0;0;0
"V138";0;0;0;0;0;0;0;0;0;1
"V139";0;1;0;0;0;0;0;0;0;0
"V140";0;0;0;0;0;0;0;0;0;1
"V141";0;0;0;0;1;0;0;0;0;0
"V142";0;0;0;0;1;0;0;0;0;0
"V143";0;0;0;0;0;0;0;1;0;0
"V144";0;0;0;0;0;0;0;0;1;0
"V145";0;0;1;0;0;0;0;0;0;0
"V146";1;0;0;0;0;0;0;0;0;0
"V147";0;0;1;0;0;0;0;0;0;0
"V148";0;1;0;0;0;0;0;0;0;0
"V149";0;0;0;0;0;1;0;0;0;0
"V150";0;0;0;0;0;0;1;0;0;0
"V151";0;0;0;1;0;0;0;0;0;0
"V152";0;0;0;0;0;1;0;0;0;0
"V153";0;0;0;0;0;0;1;0;0;0
"V154";0;0;0;0;0;0;1;0;0;0
"V155";0;0;0;0;0;0;1;0;0;0
"V156";0;0;0;0;0;0;0;1;0;0
"V157";0;0;0;0;1;0;0;0;0;0
"V158";0;0;0;0;0;0;1;0;0;0
"V159";0;0;0;1;0;0;0;0;0;0
"V160";0;1;0;0;0;0;0;0;0;0
"V161";0;0;0;0;0;1;0;0;0;0
"V162";0;1;0;0;0;0;0;0;0;0
"V163";0;0;1;0;0;0;0;0;0;0
"V164";0;0;0;0;1;0;0;0;0;0
