"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17"
"V27";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"V28";1;1;1;0;0;1;0;1;0;0;1;1;1;0;1;1;0
"V29";0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"V30";0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
"V31";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V32";1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1
"V33";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V34";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V35";1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0
"V36";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"V37";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"V38";0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"V39";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V40";0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1
"V41";1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1
"V42";1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0
"V43";1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1
"V44";1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1
"V45";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V46";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"V47";1;0;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1
"V48";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
"V49";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"V50";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"V51";1;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0
"V52";1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0
"V53";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V54";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"V55";0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"V56";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V57";1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0
"V58";1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1
"V59";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V60";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V61";1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"V62";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
"V63";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V64";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V65";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
"V66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"V67";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V68";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"V69";1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1
"V70";0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0
"V71";0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0
"V72";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V73";1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1
"V74";0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1
"V75";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V76";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V77";0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0
"V78";0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0
"V79";1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1
"V80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V81";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V82";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
"V83";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"V84";0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0
"V85";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V86";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V87";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"V88";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"V89";0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0
"V90";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"V91";1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"V92";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"V93";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V95";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V96";0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0
"V97";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V98";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"V99";0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0
"V100";0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1
"V101";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"V102";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V103";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V104";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V105";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V106";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"V107";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"V108";0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"V109";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V110";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V111";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"V112";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"V113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V114";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V115";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V116";1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
"V117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V118";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V119";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V120";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V121";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V122";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V123";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V124";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"V125";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V126";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V127";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V128";1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0
"V129";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V130";1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
"V131";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"V132";0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
"V133";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V134";0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"V135";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V136";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V137";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V138";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V139";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V140";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V141";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V142";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V143";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V144";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V145";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V146";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"V147";1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0
"V148";0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0
"V149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V150";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V151";0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"V152";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V153";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"V154";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"V155";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V156";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V157";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V158";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V159";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"V160";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V161";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V162";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V163";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V164";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V165";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"V166";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V167";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V168";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V169";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V170";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V171";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V172";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V173";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V174";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V175";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V176";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"V177";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V178";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V179";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V180";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V181";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V182";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V183";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V184";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V185";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V186";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"V187";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"V188";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V189";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V190";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V191";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V192";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
"V193";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V194";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
"V195";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V196";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V197";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V198";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V199";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V200";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"V201";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V202";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V203";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V204";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V205";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V206";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"V207";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V208";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V209";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V210";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V211";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V212";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V213";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V214";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V215";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V216";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V217";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V218";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V219";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V220";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V221";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V222";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"V223";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V224";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V225";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V226";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V227";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V228";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V229";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V230";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V231";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V232";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V233";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V234";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V235";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V236";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V237";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V238";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V239";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
